Test ID,Domain,Scenario,Precondition,Test Steps,Expected Result,Evidence,Owner,Priority,Status
UAT-001,Business,Generate monthly quality package,Approved synthetic source batch,Run full monthly process,Dashboard API and file publish the expected aggregate period,Execution log and output samples,Implementation Lead,Critical,Not Started
UAT-002,Data Quality,Reconcile row counts,Synthetic source and transformed model available,Compare source eligible rows to transformed denominator,Counts match approved rules and variances are explained,Reconciliation report,Data Owner,Critical,Not Started
UAT-003,Data Quality,Reconcile metrics across channels,Dashboard API and file generated,Compare aggregate rates and transformation versions,Values match within approved rounding tolerance,Comparison workbook,Data Owner,Critical,Not Started
UAT-004,Delivery,Send file to approved destination,Allowlist and destination configured,Execute test transfer and verify receipt,Only approved destination receives encrypted file and receipt is logged,Transfer receipt and destination screenshot,Engineering Owner,Critical,Not Started
UAT-005,Delivery,Reject unapproved recipient,Unapproved synthetic recipient configured in test,Attempt transfer to unapproved recipient,Transfer is blocked and an alert is created,Blocked-transfer log,Security Reviewer,Critical,Not Started
UAT-006,API,Authorize approved API consumer,Approved test identity exists,Request aggregate endpoint with valid credentials,Request succeeds with expected scope and audit event,API response and audit log,Engineering Owner,High,Not Started
UAT-007,API,Deny unauthorized API consumer,Invalid or wrong-scope identity exists,Request aggregate endpoint,Request is denied without exposing sensitive details,API denial response and audit log,Security Reviewer,Critical,Not Started
UAT-008,Recovery,Rerun failed monthly transfer,Simulated transfer failure exists,Trigger incident then execute approved rerun,Rerun completes once without duplicate output and customer status updates,Incident record and rerun receipt,Implementation Lead,High,Not Started
UAT-009,Recovery,Execute rollback rehearsal,Prior known-good package available,Follow runbook to restore prior package,Prior package is restored and stakeholders receive notification,Rollback log and communication,Launch Authority,Critical,Not Started
UAT-010,Privacy,Verify synthetic-only demonstration data,Generated outputs available,Inspect file dashboard API logs and screenshots,No real PHI PII customer data credentials or production identifiers are present,Privacy review checklist,Privacy Reviewer,Critical,Not Started
UAT-011,Operations,Validate delivery SLA,Scheduled test window configured,Run process and record completion time,Delivery completes by 8:00 AM Central or creates incident per threshold,Scheduler log and incident evidence,Implementation Lead,High,Not Started
UAT-012,Governance,Prevent Go with open mandatory blocker,At least one mandatory blocker remains open,Generate launch summary,System recommends No-Go regardless of aggregate score,Readiness summary,Product Owner,Critical,Not Started
